author|0|body_xml
elmirkinskij|2013/03/22 07:14:25|786 265 616
elmirkinskij|2013/03/22 07:14:26|8068
iabbliz|2013/03/22 07:16:01|скопируй файлик
iabbliz|2013/03/22 07:18:52|Прод.51
iabbliz|2013/03/22 07:19:04|Коды начинающиеся с Прод это к Эльвире вопросы
iabbliz|2013/03/22 07:19:18|НСИ.43
iabbliz|2013/03/22 07:19:23|НСИ это к Пасечнику
iabbliz|2013/03/22 07:19:34|НСИ.41
iabbliz|2013/03/22 07:20:09|Сервис.2
Сервис.3
Сервис.4
iabbliz|2013/03/22 07:20:18|НСИ.45
iabbliz|2013/03/22 07:20:35|Зак.21
iabbliz|2013/03/22 07:20:41|Зак это к Юдановой
elmirkinskij|2013/03/22 07:20:45|может пока хватит?
iabbliz|2013/03/22 07:20:50|ок
iabbliz|2013/03/22 07:20:56|смотри потом как сделаешь
iabbliz|2013/03/22 07:21:05|либо мне пиши я буду отмечать в файле
iabbliz|2013/03/22 07:21:10|либо можешь сама зайти
iabbliz|2013/03/22 07:21:33|надо будет проставить дату в колонку Факт напротив сделанной задачи
iabbliz|2013/03/22 07:21:46|и строчку зеленым подсветить
elmirkinskij|2013/03/22 07:21:57|ок, разберемся, как сделаю.
iabbliz|2013/03/22 07:21:59|мне лучше тоже кидай, просто у меня свой файл еще
iabbliz|2013/03/22 07:22:00|если не сложно
elmirkinskij|2013/03/22 07:22:05|окей
iabbliz|2013/03/22 07:22:07|ок
elmirkinskij|2013/03/22 07:39:09|может для единообразия ты будешь там все подсвечивать? прод.51 готов
elmirkinskij|2013/03/22 07:39:28|а как отражать трудозатраты по этим исправлениям в базе?
elmirkinskij|2013/03/22 07:39:32|без задачи?
iabbliz|2013/03/22 07:39:40|да
iabbliz|2013/03/22 07:39:55|я в содержании работ пишу код ошибки и текст
iabbliz|2013/03/22 07:40:04|Эльмира лучше потом 1 списком скинь=)
iabbliz|2013/03/22 07:40:10|ошибки которые поправила
elmirkinskij|2013/03/22 07:40:11|а, ок
iabbliz|2013/03/22 08:11:11|<quote author="iabbliz" authorname="Антон Иванов" conversation="elmirkinskij" guid="x6b5727dfa356d78b15fa6043f84e96f328be08daf034550af18b35c388568965" timestamp="1363936841"><legacyquote>[11:20:41] Антон Иванов: </legacyquote>Зак это к Юдановой<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>зак это Григорюк попутал
elmirkinskij|2013/03/22 08:12:06|ты о чем?
iabbliz|2013/03/22 08:12:35|в коде если написано Зак.
iabbliz|2013/03/22 08:12:37|ошибки
iabbliz|2013/03/22 08:12:49|если есть вопросы, это надо обращатся к Григорюку
elmirkinskij|2013/03/22 08:13:01|а, я думала, что он там что-то напутал)
iabbliz|2013/03/22 08:13:12|=))
elmirkinskij|2013/03/22 10:44:10|<quote author="iabbliz" authorname="Антон Иванов" conversation="iabbliz" guid="x448c56b337b99f9cd9d015578aa42b44dcd7116dd98db942fb3bb8737703cc62" timestamp="1363936705"><legacyquote>[11:18:25] Антон Иванов: </legacyquote>Прод.51
Коды начинающиеся с Прод это к Эльвире вопросы
НСИ.43
НСИ это к Пасечнику
НСИ.41
Сервис.2
Сервис.3
Сервис.4
НСИ.45
Зак.21<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
elmirkinskij|2013/03/22 10:44:22|сделала все кроме нси.45
elmirkinskij|2013/03/22 10:44:42|там не понятно где делать, в справочнике контрагенты? Пасечника нет в доступе
elmirkinskij|2013/03/22 10:44:53|давай еще задачки)
iabbliz|2013/03/22 10:45:03|=)
iabbliz|2013/03/22 10:45:07|Прод.34
iabbliz|2013/03/22 10:45:17|Зак.16
iabbliz|2013/03/22 10:45:31|Зак.18
iabbliz|2013/03/22 10:46:48|Зак.19
elmirkinskij|2013/03/22 10:54:26|там же в файле трудозатраты указаны в долях часа? не в минутах?
iabbliz|2013/03/22 10:54:38|в долях часах
elmirkinskij|2013/03/22 10:54:43|ок
elmirkinskij|2013/03/22 11:03:40|из под носа счета на оплату выхватил)
elmirkinskij|2013/03/22 11:03:43|надолго?
iabbliz|2013/03/22 11:03:59|нет
elmirkinskij|2013/03/22 11:55:34|забыл отпустить или все-таки надолго?
iabbliz|2013/03/22 11:56:00|=)
iabbliz|2013/03/22 11:56:03|не забыл
iabbliz|2013/03/22 11:56:21|еще чуть чуть=)
iabbliz|2013/03/22 11:56:25|не думал что надолго
iabbliz|2013/03/22 11:59:24|отпустил
iabbliz|2013/03/22 13:38:43|Еще есть?
iabbliz|2013/03/22 13:38:51|ща буду в файле отмечать
elmirkinskij|2013/03/22 13:39:05|зак.16
elmirkinskij|2013/03/22 13:39:09|больше пока не делала
iabbliz|2013/03/22 13:39:20|ок
iabbliz|2013/03/22 13:42:42|объекты положи в хранилище
iabbliz|2013/03/22 13:42:47|по которым сделала
iabbliz|2013/03/22 13:42:57|чтобы круг модел обновил
elmirkinskij|2013/03/22 13:44:13|я все положила
iabbliz|2013/03/22 13:44:16|Спасибо
elmirkinskij|2013/03/22 13:45:28|я не опоздала? напиши еще зак.18- проверила, нет ошибки.
iabbliz|2013/03/22 13:45:44|не опоздала
iabbliz|2013/03/22 13:45:45|ок
iabbliz|2013/03/25 05:18:40|Привет
elmirkinskij|2013/03/25 05:19:50|привет
iabbliz|2013/03/25 05:20:38|Что то подзабыл, сейчас у тебя задания:
Прод.34
Прод.51
НСИ.45
Зак.19
iabbliz|2013/03/25 05:20:40|да?
elmirkinskij|2013/03/25 05:22:04|прод.51 сделала
elmirkinskij|2013/03/25 05:22:14|остальные да, у меня
iabbliz|2013/03/25 05:22:16|в пятницу?
elmirkinskij|2013/03/25 05:22:21|да
elmirkinskij|2013/03/25 05:22:38|<quote author="elmirkinskij" authorname="Эльмира-ВЦ &quot;Раздолье&quot; ЛК 1с" conversation="iabbliz" guid="x33441522574cb62fec3ca04475e9b59c9fe78f60e8b79b268d0775dd085b743a" timestamp="1363949024"><legacyquote>[22.03.2013 14:43:44] Эльмира-ВЦ &quot;Раздолье&quot; ЛК 1с: </legacyquote>[22 марта 2013 г. 11:18] Антон Иванов: 

&lt;&lt;&lt; Прод.51
Коды начинающиеся с Прод это к Эльвире вопросы
НСИ.43
НСИ это к Пасечнику
НСИ.41
Сервис.2
Сервис.3
Сервис.4
НСИ.45
Зак.21
сделала все кроме нси.45<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
iabbliz|2013/03/25 05:22:42|пропустил
iabbliz|2013/03/25 05:22:43|=)
iabbliz|2013/03/25 05:22:45|ок.
iabbliz|2013/03/25 05:54:43|У тебя сервер работает?
elmirkinskij|2013/03/25 05:55:16|неа)
iabbliz|2013/03/25 05:55:28|синхронизация прошла успешно
elmirkinskij|2013/03/25 08:32:06|Антон, зак.18:
elmirkinskij|2013/03/25 08:32:06|Документ поступление товаров и услуг, не заполняется автоматически договор
elmirkinskij|2013/03/25 08:32:21|Григорюк:
elmirkinskij|2013/03/25 08:32:23|Зак.18
КР-00000160 заказ поставщику на круг модель В ТЧ товары не проставился заказ покупателя При автоматическом формировании данного документа на основании счета на оплату покупателю (под заказ)
elmirkinskij|2013/03/25 08:32:28|как они связаны?
elmirkinskij|2013/03/25 08:32:56|я апроверила зак.18 все проставляется, ничего и не меняла. А то, что пишет Дима это видимо совсем о другом??
iabbliz|2013/03/25 08:33:38|надо гляуть
iabbliz|2013/03/25 08:33:45|что то сервер не отвечает
