author|0|body_xml
iabbliz|2013/05/14 10:54:57|Прод  - Зиатдинова
iabbliz|2013/05/14 10:55:02|Зак - Григорюк
iabbliz|2013/05/14 10:56:07|после того как сделал задачу необходимо
Строку с задачей отметить заливкой зеленой, в колонку Дата  проставить Дату фактического исправлеия, в колонку исполнитель себя
duke-81|2013/05/14 10:56:18|огоссе
duke-81|2013/05/14 10:56:28|мне бы вопросы позадавать
duke-81|2013/05/14 10:56:37|я не могу вот так с файла
iabbliz|2013/05/14 10:56:53|файл лучше не открывать на просмотр прям там, т.к. с файлом могут работать другие
iabbliz|2013/05/14 10:57:02|<quote author="iabbliz" authorname="Антон Иванов" conversation="duke-81" guid="x903c202dd8dd508b111bf56e1a57bd5aadb0c54d7b777912cac47cd268b3d5b8" timestamp="1368528842"><legacyquote>[14:54:02] Антон Иванов: </legacyquote>в колонке Код
в зависимости от префикса
надо обращатся к разным консультантам за разъяснениями
НСИ, Сервис - Пасечник, 
Перенос, Склад, Произв- Юданова
Прод  - Зиатдинова
Зак - Григорюк<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
iabbliz|2013/05/14 10:57:09|у них можно спрашивать пояснения
duke-81|2013/05/14 10:57:22|просто тут проблема в трудозатратах)
duke-81|2013/05/14 10:57:28|ты их уже наставил
iabbliz|2013/05/14 10:57:35|по поводу трудозатрат к Вере Пикурен
iabbliz|2013/05/14 10:57:54|далеко не везде я=)
duke-81|2013/05/14 10:57:58|ну понятно
iabbliz|2013/05/14 10:58:19|особенно по тем ошибкам что остались
iabbliz|2013/05/14 10:58:40|помойму кроме одной задачи по прод ничего не оценивал
iabbliz|2013/05/14 10:58:53|Прод.110
которая
duke-81|2013/05/14 11:02:12|мне просто ничего не понятно. чтобы включить в контекст каждой задачи тоже надо время
iabbliz|2013/05/14 11:02:57|ну это наверно уже тоже не ко мне=)
duke-81|2013/05/14 11:03:13|угу
duke-81|2013/05/14 13:47:13|я не могу даже заказы покупателей открыть
iabbliz|2013/05/14 13:47:34|создать?
iabbliz|2013/05/14 13:47:40|или открыть
duke-81|2013/05/14 13:47:50|аа. это на журнал запрет
iabbliz|2013/05/14 13:47:59|угу
duke-81|2013/05/14 13:54:48|{ОбщийМодуль.РаботаСДиалогами.Модуль(6234)}: Ошибка при вызове метода контекста (ПолучитьФорму)
 ФормаПодбора = Обработки.ПодборНоменклатуры.ПолучитьФорму(&quot;ОсновнаяФорма&quot;, ФормаДокумента, ФормаДокумента);
по причине:
Нарушение прав доступа!
duke-81|2013/05/14 13:54:57|как мне от этого избавиться?
iabbliz|2013/05/14 13:55:31|не знаю
iabbliz|2013/05/14 13:55:33|глянь прав
iabbliz|2013/05/14 13:55:36|поставь себе полные
duke-81|2013/05/14 13:56:14|стоят
iabbliz|2013/05/14 13:56:48|тогда не знаю
duke-81|2013/05/14 13:59:18|{Документ.ЗаказПокупателя.Форма.ФормаДокумента.Форма(5537)}: Значение не является значением объектного типа (Ссылка)
 Менеджер.СчетНаОплатуПокупателю = ДокументОснование.Ссылка;
iabbliz|2013/05/14 13:59:50|старый док
iabbliz|2013/05/14 13:59:51|код Круга
iabbliz|2013/05/14 14:01:34|новые документы пооткрывай
iabbliz|2013/05/14 14:01:37|в них норм
