author|0|body_xml
enichevmaxim|2013/05/27 08:13:21|нада с киевом обен сделать..
enichevmaxim|2013/05/27 08:13:27|по транзакции не хватает времени
enichevmaxim|2013/05/27 08:13:36|ща монопольно запущу
iabbliz|2013/05/27 08:14:04|понятно
iabbliz|2013/05/27 09:48:54|смотрю
enichevmaxim|2013/05/27 09:49:00|понял..
iabbliz|2013/05/27 10:25:44|у кого ошибка осталась надо перезайти
enichevmaxim|2013/05/27 10:26:16|окей..
enichevmaxim|2013/05/27 10:26:26|сообщу..
iabbliz|2013/05/27 13:18:42|<quote author="ellizia2012" authorname="Зиатдинова Эльвира" conversation="ellizia2012" guid="x5ad6379dada00fade7be4b4a85020dc1cacf5b794059897c4b2ee8d1f85dd62f" timestamp="1369660700"><legacyquote>[17:18:20] Зиатдинова Эльвира: </legacyquote>{ОбщийМодуль.кругОбщий.Модуль(1546)}: Преобразование значения к типу Число не может быть выполнено
  НоваяСтрока.Количество = -Строка.Количество;
при проведении РТУ А1-00012386<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>
iabbliz|2013/05/27 13:20:29|ты не смотрел эту ошибку
iabbliz|2013/05/27 13:20:32|я могу поправить сам?
iabbliz|2013/05/27 13:21:26|тут?
enichevmaxim|2013/05/27 14:14:07|исправление в хранилище..
iabbliz|2013/05/27 14:15:29|Макс а когда можно метаданные обновить?
enichevmaxim|2013/05/27 14:16:56|наверное уже ближе к 7..
enichevmaxim|2013/05/27 14:17:03|я ща убегу на склад..
iabbliz|2013/05/27 14:44:41|убежал?
iabbliz|2013/05/27 15:08:10|во сколько можно обновить метаданные?
enichevmaxim|2013/05/27 15:09:52|давай сейчас обновим..<ss type="smile">:)</ss>
enichevmaxim|2013/05/27 15:09:58|момент, предупрежу всех
enichevmaxim|2013/05/27 15:12:35|я через сеансы отрублю всех, ключ 1235
iabbliz|2013/05/27 15:12:50|ок
enichevmaxim|2013/05/27 15:13:51|а обработка снятия уже в конфигураторе
enichevmaxim|2013/05/27 15:13:53|?
enichevmaxim|2013/05/27 15:13:55|резервов
iabbliz|2013/05/27 15:14:02|да
enichevmaxim|2013/05/27 15:14:07|оке..<ss type="smile">:)</ss>
enichevmaxim|2013/05/27 15:14:16|просто помню первый раз ты высылал внешней
iabbliz|2013/05/27 15:15:17|помойму не я
iabbliz|2013/05/27 15:15:18|=)
enichevmaxim|2013/05/27 15:15:37|может)))
enichevmaxim|2013/05/27 15:16:11|вроде всех выгнал
